startDate,endDate,progress,duration,finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_text,education,SES
2021-11-22 11:21:27,2021-11-22 11:28:07,100,399,TRUE,I would go into as much debt as possible and declare bankruptcy,I would call a tow truck to tow me to the airport lot,I would notify a manager immediately,I'll have to go back and explain what happened,I would tell my teacher to call my mom and ask her to bring in the homework,huddle together for warmth and try to find any animals for food,I would suggest he try to find an extra online,I would let the family know when they get back,I would call the police and give them my location and a license plate number,I would offer to buy her an uber home,I would call the police and wait by the car and flag down other passerbys,I would inform TSA that I forgot the knife,Call the taxi company and explain the situation,I would let him move in until I can find a bigger place,I would instruct that we need to ration food and everyone should stay calm and know that rescue is on the way,I will stay with him until he decides what is best for him,I would close the store temporarily,I would stop and try to call for help,,28,Male,,,College Graduate (4 year),
2021-11-22 11:16:38,2021-11-22 11:28:15,100,696,TRUE,Take out a loan,Miss the hunting safari,Find out where the discrepancy is,Ask gym staff to let your friend know,Try to see if she can bring it to school.,"Take stock of supplies, asses how long they will last for, and see what methods you have to signal rescue parties",Go to the concert without Ted,"Keep an eye on the individual, and determine if they are with the group or not",Call the police,Do not give the stranger a ride,"See if the owner is near, if not, inform a mall guard","If the knife is properly sheathed and secured, inform TSA that it will be in your checked bag, as is proper. Otherwise you would have to forfeit the knife",Call the taxi company to locate the ring,Make it work with the space you have,Take stock of supplies and ration as needed,"Leave Todd with supplies, and go to get cell reception or help","Close the store and leave, court obligations are more important.",Radio to race officials and tell them the location,,35,Male,Asian / Pacific Islander,,Some College,Rung 3
2021-11-22 11:13:48,2021-11-22 11:28:33,100,885,TRUE,I would contact family and churches to see if they can help us. ,I would call a tow truck to tow my car to the Airport while I got a ride from a taxi or Uber. I'd worry about the issue after I got back and plan for fixing it during the trip. t,"I would recount all the money, then check the cameras. ",I'd wait until my friend came and tell them. ,I would tell the teacher what happened And just hope for the best. ,"I would start to make a space where I can attempt to get away from the elements first, like a lean - to. Then I'd attempt to make a fire to stay warm and for signaling help. I would try to ration my food to the extreme, and wait for a search crew m",I'd tell Ted he can take my car back to the house to get his ticket but that I am already angry about the situation and don't want to miss the show. ,I'd leave it alone and mind my own business. ,I would call 911 and report a possibly impaired driver. ,I would tell her I'm going the other way and I can't. ,"I would try to open the car doors to give water to the dog. If the doors were locked, I'd go into the mall and attempt to have someone locate the owner via a PA system. If that fails, I'd call police. ",I'd go to the bathroom and throw it away. ,"I would probably leave the wedding and tell one person my mistake, while urgently trying to contact the taxi driver from my ride. ",I'd attempt to find in home care for him. ,"I would divide the 50 passengers into groups; 5 groups of 10. They will elect the group's leader and I will divide resources among us, entrusting them to each group's leader to use responsibly. ","I'd make a shade over Tom, leave him with some water, and go try to find service and help immediately. ","I would call the GM if there is one, and tell them I have an emergency and must be relieved of my shift. If they can't immediately find someone to replace me, I have no choice but to secure the store and leave. ",I would make sure they were covered and call for help from the organizers. I would then continue. ,,33,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 2
2021-11-22 11:10:55,2021-11-22 11:29:17,100,1101,TRUE,"I would poll from family first for options, but would take a loan or reverse mortgage to afford it for them.",I would order a cab or uber to get to the airport.,"I would leave a note explaining the situation, or call the upper admin to explain what I found. I would potentially offer paying the difference, but am confused how this discrepancy would occur.","I would pay for the day to hang with my friend, and or reinstate my membership.","I would tell the teacher about this, and to fully confirm it have them email my mom to check for my story.","Focus on building something for us to reside in and build a fire to retain our heat, and then look for methods to acquire water.","If this was the case, I would see if we can show the entrance staff he bought the ticket with his receipt online and showcase that, otherwise I would be willing to give up my ticket to him.","I would watch them closely, and if they look suspicions take video or pictures of him and even ask how he knows the family. fake being a family friend to fake out the teenager.",I would flash and honk my horn to get theior attention. If this didn't work I would call 911 and notify them and follow the individual at distance to try and keep them safe and to help if anything happens.,"I most likely wouldn't offer the lady a ride, but I would instead offer her an uber or taxi to get her way she is going and pay for it.",I would call the police and ask for their recommendations and see if I can get access into the vehicle without damage. I would most likely recruit others around me to help.,I would clearly and calmly notify the airport staff and explain my field of work. I would then understand if they remove and throw the item in questions away. I would ask if they can keep it until I return so I can still keep it when I return.,Call the taxi company and ask for them to rush the car back if possible. then tell the wedding people we need to delay a bit due to this issue.,I would ask around my family and explain the situation and see if we can come together to provide a solution to this for dad.,"With food being sparce, I would distribute food in a method to assure we can last longer than a week and push a water heavy diet and good resting to maintain our energy and attitudes.",I would first tell my friend I am not leving him but need to see if we can get reception in a better location fast. I would be gone no longer than 10 minutes. If this didn't work I would then return and work out ways in which could get him free and or out of the crevice.,"I would call the court appointment and see if it can be delayed a bit, otherwise I would go to the appointment.","I would stop and care for them if possible, otherwise I would flag down other racers or even call the organizers and stay with the participant.",,29,Male,White / Caucasian,,Master's Degree (MS),Rung 6
2021-11-22 11:21:46,2021-11-22 11:31:08,100,561,TRUE,get another job,Call a cab and a tow truck,Put my own money in the register,Pay for the membership.,Call Mom,Stay put and huddle together,Go into the concert while he goes to get his ticket.,I would ask them what they are doing.,Stay back and call 911,call 911 and see what they can do for the woman.,Call 911 and then break the window,Throw it away.,Cry,I would take him in and care for him.,Show people how to fish,Keep working to free him,Close the store,Stop and help them.,,55,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 4
2021-11-22 11:15:29,2021-11-22 11:32:03,100,993,TRUE,Apply for medical/financial state assistance.,Call for a tow and miss the flight.,"File a report explaining money is missing. Review security tapes, find the theif.",Buy a new membership or wait out front for my friend to arrive.,Go to the office and ask to call my mother and have her bring the assignment.,All of us head in a straight line to the direction we think is the best guess.,"See if another ticket is available at the box office. If not, sorry Ted, I'm going in.",Walk over and try to make inconspicuous small talk until the family returns.,Call 911 and report the driver.,Tell her no.,Call animal control and report the dog in the car.,Get out of line and dispose of the knife in the trash.,"Admit what has happened, whispering to my sister.",Move my father in with me anyway.,"Keep the food and water under my supervision, ration the remaining supplies and find containers to store easch individual's urine.",Leave on foot and try and get help.,Lock the store and go to court.,"Stop and help them, call for help.",,46,Male,White / Caucasian,,Some College,Rung 6
2021-11-22 11:08:04,2021-11-22 11:32:48,100,1483,TRUE,medical insurance,yes next car book in airport ,pay in money,next day in gym,no decide,no decide , friend Ted realizes he forgot his ticket at his house,beach next to a family with young children,driving home on a two-lane road and think,yes woman approaches you to ask for a ride to a nearby city,car windows open, food festival in Chicago,ring bearer at your sister’s wedding. 10 minutes,i am out ,50-passenger cruise ship,Todd's arm out of the rock,next shift work in day,first and use the prize money to pay for your college tuition,,41,Male,White / Caucasian,,Master's Degree (MS),Rung 10 (Top Rung)
2021-11-22 11:09:24,2021-11-22 11:32:48,100,1403,TRUE,"try to borrow the money in any way possible (bank, credit cards, family or friends)","call roadside assistance, have the car towed to the shop and take an uber to the airport",Report the shortage to your supervisor ,Leave a note with the person at front checking in members and letting my friend know the situation.,I would let the teach know what happened and have the school call my mother and bring the assignment to school.,"Stay where we are, create as much shelter as possible and wait for rescue.",Ask Ted if there is someone he can call to bring the ticket and then offer to miss the concert with him,Ask the teenager what they are doing,"Pull over as far to the right as possible and stop, get out of the car (if time allows) and call 911",I would tell her I couldn't give her a ride and if pressed tell her I was late for an appointment.,Call 911,"I would proactively forfeit the knife to authorities, state this was an accident and be prepared to accompany them for questioning.",Tell the bride and groom what happened and then contact the taxi company,Temporarily move in with my father until I can better assess the situation and create a plan for moving forward.,I would tell the passengers and crew the details of our predicament and let them know if might be a week before help arrives so we will need to start rationing food.,I'd make sure Todd was not in immediate danger and attempt to move into cell tower range and call for help,"Wait until the absolute last minute for my boss to show up, leave a voicemail reminding the owner about my appointment at 8 am, left him know I am locking the store, setting the alarm and leaving.",Stop to render aid and call 911,,60,Male,White / Caucasian,,Master's Degree (MS),Rung 3
2021-11-22 11:07:13,2021-11-22 11:33:05,100,1552,TRUE,more information to collect and get it,fast to go it ,I give my best.,I cancel the plan,go to the school,First I stay clam and cool. Any help way to try it. ,call and stop it,I accepted,I stop it,I cancel the plan,I go the home,I stop that incidence,"to go fast, this is more important in my life",I definitely to go ,I give some help for engine starting problem.,I reach the near people help,I grant request to ask my store owner ,I drop it,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-22 11:07:37,2021-11-22 11:35:32,100,1674,TRUE,"I would attempt to switch to an insurance that does cover the medication. If I absolutely could not do that, I would start a fundraiser asking my community for help.","Well, I would call for help (a tow truck) and possibly attempt to still make it to the airport in time. However, if I couldn't make it to the airport and still get my car safely off the road, I would have to take the loss. Things happen and it can't be the end of the world. Sometimes, things don't go as planned and I have learned to roll with it. I would take it as ""a sign I was not meant to go"" and return home. ","I would call the owner or the boss, whoever I report to, and let them know right away that my drawer is missing $50.75 so we could check the cameras to see if an employee took it. If it were found to be something I did mistakenly (give an extra 50 back in change, two 50s stuck together or something like that) than I would offer to have it taken out of my paycheck. But only if were my fault. ","I would wait at the gym for my friend to arrive and let them know. or, I would pay the membership fee if I were able to at the time.","I would tell my teacher I did my homework but mom forgot to put it back in my back when she was packing my bookbag and tell teacher she can call mom to confirm it was done on time, or ask the teacher for another worksheet and tell her I'd fill it out again in time for class.","There isn't much one can do, other than do the very best they can to survive. I would try to keep everyone calm to prevent panic. I would start a fire. If we are days into a trip, we have a tent and overnight gear. We will have to eat less and wait for help. ","I would return with him for his ticket and we would see what we could of the concert together. If that were not an option, I would sell my ticket to someone outside of the theater and take the loss. I would not want to go alone, without my friend. That would be unkind to my friend and not very much fun for me either.","I would approach the family and say, ""this is a little awkward, but is that person a part of your family? I just wanted to make sure because they are going in your bags when you walked away and it could be family but on the chance it isn't, I would want someone to tell me. I hope I don't offend anyone...""","I would most likely call the police and let them know about it, if I truly believed they were a threat to others on the road and drunk.","If I had the time to do so and truly believed she needed help, I would consider doing so. If I had worked all day and needed to get home to my kids, I'd put my family first and get home to make them dinner. ","I would call authorities. Police. If they couldn't help me directly, they could lead me to a number that COULD help.","I would inform the security personnel of the knife ahead of time, letting them know it is there beforehand (and tell them why it is there, it is what I use for my employment) so they don't find it surprised and no one would hurt themselves.","I would panic, not going to lie, lol... but I would immediately call the taxi company and hope a good sole was driving that car that didn't already steal it and the ring is still there and recoverable. ","I would move in with him or, even if it is a tight squeeze, I would move him in with me anyway and he could have the living room. I would never abandon either of my parents after all they have done for me.","I would be honest with my crew but tell them we will be okay if we can eat sparingly and stick together as a team, as to prevent chaos and panic.","I would try longer to free his arm. If we really could not free him, I would mark our exact location on my phone and travel alone until I found service and could reach help successfully. Once I reached 911 and was sure they were coming, I would return to my friend and wait with them. Or, I would wait where 911 could find me easily and lead them to my friend.",I would call the court and ask them if I could attend virtually.,I would absolutely stop and assist this person.,,34,Female,White / Caucasian,,Some College,Rung 3
2021-11-22 11:09:11,2021-11-22 11:35:45,100,1593,TRUE,I make a request on go fund me and take out a loan to afford the medication. ,I call friends and family to take care of the car issue. I'll likely get it towed and seek an uber to the airport.,I'd ask people im working with to see if we can find the money and if not I'd put my own money back in the register to avoid being fired.,I'd try to renew my membership before my friend got there. If that wasn't an option I'd try to borrow someone's phone at the gym.,I would talk to my teacher about my situation and have my mom confirm. I'd also take photo evidence and send it to my teacher asap as proof.,I would try to secure shelter and find a water source while waiting for the rescue crew. It would at least prolong my survival.,I would give my friend my ticket and tell him he owes me one.,I ignore it and assume that the teenager is a part of their family or friends.,I would wait until the next intersection and immediately change routes. I would also call 911 on the driver.,I'd agree and ask her to compensate me for gas.,I let security know inside the mall and let them deal with it.,I would just proceed and worst case scenario have to dispose of the knife.,I would let my sister and her groom know what happened. I'd make a makeshift ring for the reception and call the taxi service to try to get ahold of my taxi driver.,I would put my father in my living room and make due with what I have. I'd also call a social worker to get help in getting my father some sort of help.,I would announce that we are rationing food over the next week until help arrives.,"I create a SOS with land markers or rocks if able. Afterwards, I travel down the mountain to try to get service. When I finally get a call for help I come back up to my friend to wait with them. I'd do my best to help them avoid too much skin exposure to the sun.",I'd leave a message for my boss and leave for my court appointment to avoid warrants.,I would put them on my sled and take them to the next checkpoint with staff for the race.,,28,Male,White / Caucasian,,Some College,Rung 2
2021-11-22 11:09:47,2021-11-22 11:38:08,100,1700,TRUE,I would ask around the group of people I know who dabble in illegal stuff and see if it can be aquired. If not I would have to find out where it is a break in and take it without getting caught.,I wouolod get the car off of the road and push it somewhere safe. I would call an Uber ride to make it to the airport. While on the way I will make arrangements to have my car picked up or towed.,I would have no choice but to pay the money back that I owe since it is my responsibility.,"I would just not go, and tell him the truth the next day when I get my phone.","I would simply tell the teacher the truth, that I do not have my assignment because my mother took it out of my bag.","Again we would have to ration food and water, and work as a team. We must build adequate shelter and huddle for warmth while we wait for rescue.","I would say that Ted should go back and get his ticket, he forgot it and I do not see them letting him into to concert without it.","I would confront the teenager and ask if they are with the family. If yes I would confront them, if no I would find the beach patrol and get him kicked off the beach.",I would continue to follow at a safe distance while I call the police and let them know the situation. I believe this person and everyone on the roads safety is a first priority.,"I would ask if she called an uber to find out the situation, if she tried or didn't have the money and I did I would call her an Uber so she could get home.","I would call the police and head back into the mall to make an announcement for whoevers dog it is. I would stay with the dog until either police arrived or the person came to car. If the dog seems like he is going to die, I will have no choice but to smash the window and pay later for the damages.","I would either let the security know that I accidently brought a Knife and find out what they want me to do, if I cannot have it put on the bottom of the plane then I would just have them throw it away.",I would try to get ahold of the taxi to get it back. Meanwhile if there is no time I would have to get a place holder and pay them back later for loosing her ring.,"I would try to find him a cheap apartment, if not I would just have to make due in my apartment until I could come up with a better solution.","I would have to firstly cut food down to rations, and then explain the situation to everyone and make sure they know this isn't good and if we want to survive we must all work together.","The drastic part of this is us dying from dehydration, it is a long way down so if we are to high up to get help then I might have to cut his arm off.","I would have to call another employee or someone to take my place. If I cannot get ahold of anyone, then I would have to close the store and reopen it when I am finished.",I would stop and pick up the other unconcious competitor and bring him with through the rest of the race.,,33,Male,White / Caucasian,,High School or equivalent,Rung 4
2021-11-22 11:29:02,2021-11-22 11:40:09,100,667,TRUE,Search of coupons ,Reschedule my flight ,Review why it is short,Ask the gym to inform my friend ,Tell my teacher to call my mom,Call for help ,Help Him buy another ticket,Observe the tennager ,Let space form between us and call the highway patrol,Give her a ride,Tell the store to announce on PA,Inform security before they check it ,Run away ,Seek Additional help ,Hold a meeting and count supplies ,Possible break his arm to get it out or go get help and come back,Call the courthouse ,Stop and aid them,,31,Male,Black / African American,,Some College,Rung 3
2021-11-22 11:12:26,2021-11-22 11:40:19,100,1673,TRUE,I would see if there are things I can sell to come up with some quick cash or take out a loan.,I would call a friend or family member that can come take care of my car and get it towed away and I would call an uber or taxi to get to the airport.,I would recount the money to make sure there was no error. Then if I had to replace the money I guess thats what I would have to do.,I would ask the receptionist at the gym if they could locate my friend and pass on the message. ,I would explain the situation to my teacher and tell my teacher if they didn't believe me to contact my mother.,I would attempt to call emergency services and I would hunker down somewhere because continuing to walk around lost id just going to cause us to consume more energy and resources ,I would give Ted my ticket and I would skip out.,"I would keep an eye on the teenager to see where he goes and when the family returns I would mention it to them,",I would follow behind the vehicle at a safe distance and get the license number and call the police and follow the car until they got there.,I would tell her that I will take her as far as I am going and then she will need to figure it out from there.,I would look around for any sign of the owner then I would check if the car was unlocked if not I would break a window and then call police.,I would declare that I have the knife at security and tell them they may remove it from my possession and do what they want to with it. ,Well I guess I would have to bite the bullet so to speak and just come clean and the call the taxi cab service and see if we could track down the ring.,I would take my father in and we would make do until I could get us into a bigger place.,I would take a deep breath and then calculate how many supplies we have and how much we could eat each day to make it last then I would instruct everyone accordingly.,I would try to walk a little in both directions to try to get signal if I was unable to get signal I would tell Todd that I need to go for help.,Well it depends on several things such as how far away the courthouse is but  likely I would contact my attorney or the courthouse and explain the situation so that they know I may be late and I would give my boss a few more minutes if I didn't hear from him I would lock up the store and leave him a text and voicemail explaining the situation,I would stop and help the person to the best of my ability.,,34,Female,White / Caucasian,,High School or equivalent,Rung 5
2021-11-22 11:08:57,2021-11-22 11:41:29,100,1952,TRUE,Let primary care physician know the circumstances.  Ask if there are any programs that will help cover the medicine.  Ask if there is a generic for the drug or another cheaper drug that will have same effect.  ,"call a family member to stay with car, then call Uber",Recount.  Document.  Nothing much else you can do.,I would ask the person at the desk to notify my friend and/or renew my membership on the spot.,I would tell the teacher and have him/her call my mom to verify.,"Conserve food, water.  Take any emergency measures.  Pray.","If tickets are available, have Ted and/or friends purchase another ticket.  Other than that, that is Ted's problem.","I would ask regardless.  If he is a thief, that might be enough to make him run away.",Call 911.,"""No, sorry.""",Call 911.  Perhaps break car window if need be.,"As I approached TSA, I would try to get the attention of one of the TSA people before I put my bag through.  As a chef, this should be a perfectly understandable mistake.  ","I would not interrupt the ceremony.  If I had a substitute ring (my own), I would use that.  If not, I would quietly relay the info at the appropriate point in the wedding.  Immediately after that I would call the taxi company.",Time for family conference.,I would be honest with both crew and passengers and tell them that we will need to ration food until rescue.,"I would cover Todd with jacket, etc., to keep him from sun exposure and keep moving about until I got cell phone service.","I would stay at the store; attempt to call the court clerk; continue calling my boss.  Also try phone # of second in command, assistant manager.","No question.  You stop, attempt to aid, use phone to get help.",,72,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-22 11:09:58,2021-11-22 11:43:03,100,1985,TRUE,I would go ask my mom for the money to help me get her medicine!,I would try to flag someone down to see if they could give me a ride and if they did stop and give me a ride then I would call for a wrecker to haul my car to my mom's house .,I would recheck it and if it was still short then I would have to take money out of my pocket to cover it and then tell the employer that one of the other employees is coming up short with how they are figuring the cash register either they are pocketing or adding something wrong so we need to check them out and see what is going on.,I decide to go pay for my membership so that I can play racquetball with my friend even thought I have to ask him for the money since I left my things behind.,I hurry up and go to the office and ask them if I can use their phone to call my mom to bring my homework assignment so I don't get a bad grade.,I would make a fire and try to conserve energy plus keep everyone warm too!,I would throw him the keys and tell him to go get his ticket and get back to the concert I will save you a spot man!,I would kindly go up to the child and ask her what she was doing.,I decide to call 911 and report the car in front of me I give the 911 the cars license plate number and tell them what the car is doing slowly drifting between the two lanes.,I would say sorry but I have to go a different direction then that plus I am short on time and have to be somewhere!,I would immediately call 911 and stay near the car until they got there to help the pet .,Once I got up there I would say that I am chief and forgot that I had put my knife in my bag.,I would go and call the taxi service and tell them my situation and pray and hope that they find the rings for me and bring them back to the ceremony while I am trying to get them I would tell my mom to let them know what happened.,I would rent a big place with our combined income and take care of him myself.,First I would check the food supply and start ration it out and try to make it last us for as long as possible and then I would try to keep everyone calm and tell them what is going on.,I would keep trying until finally I got it lose and I would try to conserve as much energy as I could for the rest of the mountain climbing.,I called and left a message telling him that I had to go ahead and close up the store because I had an important court appointment at 8 am that I could not miss.,I would stop and help him out because college can wait but a person life can't wait so I would load him on my sled and take him to the nearest help or place I could find to get him help!!,,33,Male,White / Caucasian,,Some College,Rung 3
2021-11-22 11:08:19,2021-11-22 11:43:23,100,2103,TRUE,I would sell something we have to try and cover the cost and look for another job to make more money,I would call the airport to see if I could catch a later flight.,I would mae a note of the missing money to tell the manager.,I would try to renew my membership and wait for my friend to arrive.,I would try to explain the situation to my teacher and turn my assignment in the next day.,I would try to find a source of water and wait for rescue.,I would wait for my friend to retrieve the ticket himself or have someone bring the ticket to him.,I would try to get the family's attention to ask if the teenager is with them.,I would stay far back of the driver and call 911.,I would give her the ride to the destination.,I would call 911  for help and wait by the car for the owner to show up.,I would leave the line and try to take a later flight when I didn't have the knife.,"I would have to announce that I lost the ring, then I would call the taxi service to try to find it.",I would try to find a bigger apartment where I could take care of him.,Everyone on board would have to start rationing food.,I would try to find water for the both if us and stay with my friend until someone comes looking for us.,Ask another employee to cover for me.,I would stop to see if I could help.,,46,Male,White / Caucasian,,College Graduate (4 year),Rung 3
2021-11-22 11:24:39,2021-11-22 11:45:43,100,1264,TRUE,"Drain my savings or put it on a credit card. It isn't an optional thing, they have to have it, so I will do what is necessary to get it.",I would call AAA and an uber. Hopefully my family will ensure my car makes it back with AAA and the uber will hopefully get me to the airport in time,Well I suppose I would give my own money to make the drawer even but I'd definitely be going over the day's purchases and checking security cameras if there are any for evidence of theft.,I would go back to the office and text my friend about the situation and apologize profusely for standing them up. ,I would explain to the teacher exactly what had happened. As an elementary student I may not realize that I am responsible for looking in my backpack before school and I may not ask the teacher for an extension.,I guess I would try to huddle up with the friend for warmth and wait out the rescue crew.,"I would tell Ted to drop us at the concert and go get his ticket, this is why you ensure you have these things before leaving your house.",I would mind my own business on this one. It's not my job to play detective nor is it my job to secure their belongings. ,I would take notice of their license plate number and car description and I would call the police,I would politely decline purely based on the fact that I will not allow compete strangers in my vehicle.,"I would absolutely stand there and call the police. I'd stay there until someone arrived to help. If the situation got too dire, I would break the window.",I would check the knife as luggage.,"Jeez. I would flag down the nearest responsible person that isn't in the wedding party, explain the situation to them, try to get the ceremony drawn out, and call the taxi and hope for the best.",I'd make room in my apartment. There's no way you can tell me that we wouldn't be able to fit him in somehow. Either that or we would find a new apartment with more room or I'd move into his existing house.,"Well firstly, I'd panic. I assume as a trained captain of a cruise ship that there are procedures related to this instance. I guess I would start by rationing the food.","I'd shade Todd, find water for both of us. Try to find signal close, if I can't then I'd have to leave Todd for help","I would close the shop and lock up. My shift is over, the person that is responsible hasn't shown up and I have a life outside of my job","I would tie them to my sled, and their dogs, and I would finish the race the best I could. Money isn't worth another person's life, although, someone else might have come along and found them. I don't think my conscious would let me leave them.",,30,Female,White / Caucasian,,College Graduate (4 year),Rung 6
2021-11-22 11:26:00,2021-11-22 11:46:35,100,1235,TRUE,stop and help,Unsure what to do,put own money in,Unsure what to do,Unsure what to do,stop and help,get the ticket,take them along,pull him over,get gas,break the window,Unsure what to do,go get the phone,help him out,tell them to ration food,stop and help,Unsure what to do,stop and help,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 8
2021-11-22 11:33:12,2021-11-22 11:47:12,100,840,TRUE,I would look to any programs that might help.,I would leave my car and hitch a ride and call a friend to have it towed for me.,I would go through it again to see if I can find the issue. Then ask the employees if they have any idea.,I would ask if he is there already and if not wait for him to get there.,I would explain to the teacher and ask to call my mom to deliver it.,I would stay in one spot and wait to be rescued.,I would buy him another ticket.,I would ask the teenager why they weren't out with the rest of their family and see how they react.,I would report them.,I would tell her to call an Uber.,I would brake the window and save the dog.,I would call a close by friend to come get it.,I would tell my sister.,I would move in with my father.,I would be honest with the passengers and work with them to make sure the food will last.,I would go for help.,I would call other employees and find someone to cover for me.,I would stop racing and get them help.,,49,Female,White / Caucasian,,Some College,Rung 4
2021-11-22 11:23:51,2021-11-22 11:53:05,100,1753,TRUE,I ask my friend or other person,I am going to pick up the air flight,I get another job right now,I am calling to landline,next time I am first say my mom,I complete my way,Don't forgot the ticket at any time,First catch the teenager,Get back a way,I am complete destination,I am go to dog in hospital,I surrender my way,I go to buy another ring,I use my job,I am follow the instruct,I am so sad this situation but I am complete my way,I am go to attend meeting first,I complete my destination,,40,Female,White / Caucasian,,College Graduate (4 year),Rung 8
2021-11-22 11:50:45,2021-11-22 11:57:55,100,430,TRUE,take out a loan an get the medicine,start speeding,put in my own money,try to sneak in the gym,tell the teacher the situation ,try to rationalize the food,try to sneak ted in ,ignore the teen,try to avoid the driver,tell her i cant,ignore the dog,tell the security my situation ,tell her i lost the ring,take out a loan and put him in a nursing home,tell people they have to rationalize the food.,keep trying to get todd out until help arrives ,call the second in charge and tell them what the problem is,keep going,,21,Male,Black / African American,,College Graduate (4 year),Rung 4
2021-11-22 11:50:39,2021-11-22 11:59:48,100,548,TRUE,Get a second job or take out a loan. Either way I would prioritize her life.,Call friends and family to see if they can handle my car. Call a tow truck and then either an Uber or friend to drive me to airport. Deal with the car when I get back.,Double check the count and see if anyone took money from my register for theirs. If neither turns up the difference then fill the register due to my own mistake.,Ask to borrow a phone and see if anyone will lend theirs to me for a moment.,Tell the teacher what has happened and offer to call mom to bring it in.,Bundle up with friends to split food and share warmth. Try to find a decent location to camp it out at.,It was his responsibility and I have my ticket. So I would proceed to go in.,Ask one of the parents if that is theirs or not out of concern.,Call the police and report it.,I would go ahead and give them a ride. It is not a big deal.,Call the police to get the dog out of the car before it dies.,I would make it clear what I work as and why there is a knife in my bag. Offer to let them dispose of it if required.,Explain and try to find it. Offer to replace it if needed.,Try to find a solution with hospice.,"Let them know food will be distributed but it will be limited. There is rescue on the way, so just bare with it for a few days.",Continue to try to help them no matter what.,Close the store. My boss should be able to open it when he arrives.,Stop and help. The race is not worth a life.,,32,Male,White / Caucasian,,High School or equivalent,Rung 6
2021-11-22 11:17:20,2021-11-22 12:03:34,100,2773,TRUE,I asked money from my friends,I cross that street and rent a new taxi,I check the accounts and Verify the CCTV camera weather other person steal the amount,I back to desk in office after that I informed to him,I was punished,I had a self confidence and I try to find another way,I buy another tickets,I don't care about that unless the family shout or asking any help,I will drive the car,I ased her to pay for extra 10 miles,I give some water to dog,Before checking I hand over knife to security and explain why I had this,I asked anyone had a new ring for wedding gift,I build another room for my father,I explained the situation to crew and asked some ideas,I try some other way to get people,I asked my colleague to take care,I helped him,,28,Female,White / Caucasian,,College Graduate (4 year),Rung 7
2021-11-22 11:45:09,2021-11-22 12:05:36,100,1227,TRUE,I would do whatever I had to do in order to get the money.,"i would hire a ride-sharing service, and call a friend to get my car to a mechanic.",I would replace it with my own money.,I would leave and call my friend later to explain.,I would tell the teacher the truth.,"I would stay put and wait for rescue, and I would try to keep a fire burning.",II would go in the concert and hope Ted doesn't miss too much of it.,"I would mind my own business, but notify the family when they come back",I would call the police.,I would give her the ride.,"I would smash the window, then call the police.",I would stay in line and explain my mistake to security.,I would give her another ring as a temporary replacement to use in the ceremony and get the original ring back from the taxi company later.,I would get a bigger apartment and live there with my father.,I would institute strict rationing and hope for the best.,I would leave Todd and quickly go for help.,"I would lock up, put a sign on the door, and leave.",I would have to stop and help them.,,42,Male,White / Caucasian,,High School or equivalent,Rung 3
2021-11-22 12:09:48,2021-11-22 12:21:04,100,676,TRUE,I would go to the ER at my local hospital.,I would call uber and a tow truck.,I would not use money out of my pocket.,I would wait for my friend and pay for one day or renew my membership..,Explain what happened to my teacher and offer to call home to see if my mom could bring it to me.,I would gather wood and make emergency shelter with tree branches.,Offer to buy Ted a ticket if I had the money.,I would mention it to the family.,I would call 911 before they wreck.,I would say no but offer her my phone to call someone else.,I would call 911 and possibly break the window.,"I would explain, apologize and show proof that I'm a chef on my way to a food festival.",I would call the taxi company and freak out.,I would move in with my father at his place.,I would take food inventory.,I would leave Todd and quickly bring back help.,I would lock the store and go to court.,I would stop to help.,,48,Female,White / Caucasian,,Some College,Rung 5
2021-11-22 11:21:30,2021-11-22 12:22:14,100,3644,TRUE,I would try and steal it from the pharmacy. ,I would try and get to there by foot. ,try and make up for the money by replacing it through my own pocket. ,I would go the gym regardless.,Make something up to pass as a homework assignment ,Try and light a flare.,return and get the ticket. ,I would try and stop this pilfering from happening. ,I would speed up and try and pass him. ,would ditch the woman. ,call 911 as this is highly illegal and dangerous. ,i would try and get rid of the knife ,Try and find the keys ,I would take care of him myself. ," I would try and manage the remaining food supplies, and tell the fattest passengers to prepare to eat less. A lot less. ",leave ted for dead. ,would leave the job. ,I would stop and try and help him get medical assistance. ,,41,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 5
